Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,2332.620117,2361.370117,2332.51001,2355.840088,3315467500,2355.840088
2017-04-10,2357.159912,2366.370117,2328.949951,2328.949951,3060917500,2328.949951
2017-04-03,2362.340088,2378.360107,2344.72998,2355.540039,3329646000,2355.540039
2017-03-27,2329.110107,2370.419922,2322.25,2362.719971,3245496000,2362.719971
2017-03-20,2378.23999,2381.929932,2335.73999,2343.97998,3425796000,2343.97998
2017-03-13,2371.560059,2390.01001,2358.179932,2378.25,3751414000,2378.25
2017-03-06,2375.22998,2378.800049,2354.540039,2372.600098,3542496000,2372.600098
2017-02-27,2365.22998,2400.97998,2358.959961,2383.120117,3902902000,2383.120117
2017-02-21,2354.909912,2368.26001,2352.870117,2367.340088,3723820000,2367.340088
2017-02-13,2321.719971,2351.310059,2321.419922,2351.159912,3566332000,2351.159912
2017-02-06,2294.280029,2319.22998,2285.379883,2316.100098,3464088000,2316.100098
2017-01-30,2286.01001,2298.310059,2267.209961,2297.419922,3800202000,2297.419922
2017-01-23,2267.780029,2300.98999,2257.02002,2294.689941,3511188000,2294.689941
2017-01-17,2269.139893,2276.959961,2258.409912,2271.310059,3397795000,2271.310059
2017-01-09,2273.590088,2279.27002,2254.25,2274.639893,3404042000,2274.639893
2017-01-03,2251.570068,2282.100098,2245.129883,2276.97998,3659282500,2276.97998
2016-12-27,2266.22998,2273.820068,2233.620117,2238.830078,2346677500,2238.830078
2016-12-19,2259.23999,2272.560059,2256.080078,2263.790039,2859250000,2263.790039
2016-12-12,2258.830078,2277.530029,2248.439941,2258.070068,4477522000,2258.070068
2016-12-05,2200.649902,2259.800049,2199.969971,2259.530029,4067486000,2259.530029
2016-11-28,2210.209961,2214.100098,2187.439941,2191.949951,4317886000,2191.949951
2016-11-21,2186.429932,2213.350098,2186.429932,2213.350098,3142047500,2213.350098
2016-11-14,2165.639893,2189.889893,2156.080078,2181.899902,4224642000,2181.899902
2016-11-07,2100.590088,2182.300049,2100.590088,2164.449951,5071366000,2164.449951
2016-10-31,2129.780029,2133.25,2083.790039,2085.179932,4085548000,2085.179932
2016-10-24,2148.50,2154.790039,2119.360107,2126.409912,3821640000,2126.409912
2016-10-17,2132.949951,2148.439941,2124.429932,2141.159912,3229816000,2141.159912
2016-10-10,2160.389893,2169.600098,2114.719971,2132.97998,3228104000,2132.97998
2016-10-03,2164.330078,2165.860107,2144.01001,2153.73999,3575286000,2153.73999
2016-09-26,2158.540039,2175.300049,2141.550049,2168.27002,3793592000,2168.27002
2016-09-19,2143.98999,2179.98999,2135.909912,2164.689941,3377168000,2164.689941
2016-09-12,2120.860107,2163.300049,2119.120117,2139.159912,4040866000,2139.159912
2016-09-06,2181.610107,2187.870117,2127.810059,2127.810059,3682217500,2127.810059
2016-08-29,2170.189941,2184.870117,2157.090088,2179.97998,3182242000,2179.97998
2016-08-22,2181.580078,2193.419922,2160.389893,2169.040039,3055794000,2169.040039
2016-08-15,2186.080078,2193.810059,2168.50,2183.870117,3209842000,2183.870117
2016-08-08,2183.76001,2188.449951,2172.00,2184.050049,3268124000,2184.050049
2016-08-01,2173.149902,2182.870117,2147.580078,2182.870117,3702708000,2182.870117
2016-07-25,2173.709961,2177.090088,2159.070068,2173.600098,3639634000,2173.600098
2016-07-18,2162.040039,2175.629883,2159.01001,2175.030029,3130338000,2175.030029
2016-07-11,2131.719971,2169.050049,2131.719971,2161.73999,3488338000,2161.73999
2016-07-05,2095.050049,2131.709961,2074.02002,2129.899902,3694952500,2129.899902
2016-06-27,2031.449951,2108.709961,1991.680054,2102.949951,4428096000,2102.949951
2016-06-20,2075.580078,2113.320068,2032.569946,2037.410034,4152773900,2037.410034
2016-06-13,2091.75,2098.120117,2050.370117,2071.219971,3855486000,2071.219971
2016-06-06,2100.830078,2120.550049,2089.959961,2096.070068,3468828000,2096.070068
2016-05-31,2100.129883,2105.26001,2085.100098,2099.129883,3825020000,2099.129883
2016-05-23,2052.22998,2099.060059,2047.26001,2099.060059,3370424000,2099.060059
2016-05-16,2046.530029,2071.879883,2025.910034,2052.320068,3813212000,2052.320068
2016-05-09,2057.550049,2084.870117,2043.130005,2046.609985,3714614000,2046.609985
2016-05-02,2067.169922,2083.419922,2039.449951,2057.139893,3975588000,2057.139893
2016-04-25,2089.370117,2099.889893,2052.280029,2065.300049,3998320000,2065.300049
2016-04-18,2078.830078,2111.050049,2073.649902,2091.580078,3872892000,2091.580078
2016-04-11,2050.22998,2087.840088,2039.73999,2080.72998,3893346000,2080.72998
2016-04-04,2073.189941,2074.02002,2033.800049,2047.599976,3710442000,2047.599976
2016-03-28,2037.890015,2075.070068,2028.310059,2072.780029,3537400000,2072.780029
2016-03-21,2047.880005,2056.600098,2022.48999,2035.939941,3460572500,2035.939941
2016-03-14,2019.27002,2052.360107,2005.22998,2049.580078,4427754000,2049.580078
2016-03-07,1996.109985,2022.369995,1969.25,2022.189941,4420672000,2022.189941
2016-02-29,1947.130005,2009.130005,1931.810059,1999.98999,5041234000,1999.98999
2016-02-22,1924.439941,1962.959961,1891.00,1948.050049,4145866000,1948.050049
2016-02-16,1871.439941,1930.680054,1871.439941,1917.780029,4540387500,1917.780029
2016-02-08,1873.25,1881.599976,1810.099976,1864.780029,5097714000,1864.780029
2016-02-01,1936.939941,1947.199951,1872.22998,1880.050049,4816386000,1880.050049
2016-01-25,1906.280029,1940.23999,1872.699951,1940.23999,4740788000,1940.23999
2016-01-19,1888.660034,1908.849976,1812.290039,1906.900024,5331247500,1906.900024
2016-01-11,1926.119995,1950.329956,1857.829956,1880.329956,5058230000,1880.329956
2016-01-04,2038.199951,2038.199951,1918.459961,1922.030029,4417938000,1922.030029
2015-12-28,2057.77002,2081.560059,2043.619995,2043.939941,2514317500,2043.939941
2015-12-21,2010.27002,2067.360107,2005.930054,2060.98999,3044272500,2060.98999
2015-12-14,2013.369995,2076.719971,1993.26001,2005.550049,4922378000,2005.550049
