STOCK CODE;LISTING DATE;Month;BOOK BUILD DATE;S & P;kospi;NAME;MKT;MKT_Dummy;BOOK BUILD DATE;LOWER BAND;UPPER BAND; TOTAL SHARES ; MKT CAP (BN) ; IPO SHARES ; IPO SIZE (BN) ; IPO PRICE ;Discount on the Band Price; DAY 1 OPEN 
133750;12/18/15;12;12/07/15;-0.34%;1.10%;MEGAMD;KQ;0;12/07/15;3600;4600;20401568;61;5372464;16;3000;-600;5020
217730;12/21/15;12;12/07/15;2.76%;0.96%;KANGSTEM BIOTECH;KQ;0;12/07/15;8000;10000;13757150;83;2000000;12;6000;-2000;7200
47920;12/21/15;12;12/07/15;2.76%;0.96%;C-TRI;KQ;0;12/07/15;8300;10200;7270545;47;1200000;8;6500;-1800;9250
13310;12/22/15;12;12/09/15;2.76%;0.96%;AHJIN INDUSTRY;KQ;0;12/09/15;6500;7500;12550300;82;4500000;29;6500;0;7620
206560;12/22/15;12;12/08/15;2.76%;0.96%;DEXTER STUDIOS;KQ;0;12/08/15;11000;14000;10707644;150;2141664;30;14000;3000;24800
222980;12/23/15;12;12/08/15;2.76%;0.96%;MCNULTY KOREA;KQ;0;12/08/15;10500;11500;4925000;39;1200000;10;8000;-2500;16000
191410;12/24/15;12;12/10/15;2.76%;0.96%;RYUK-IL C&S;KQ;0;12/10/15;6000;6700;8501980;51;700000;4;6000;0;6560
223310;12/24/15;12;12/10/15;2.76%;0.96%;ESV;KQ;0;12/10/15;13000;15000;6627400;66;1580000;16;10000;-3000;18500
145020;12/24/15;12;12/09/15;2.76%;0.96%;HUGEL;KQ;0;12/09/15;190000;210000;3374058;506;360000;54;150000;-40000;199500
226320;12/28/15;12;12/10/15;-0.83%;-2.02%;ITS SKIN;KP;1;12/10/15;208500;253000;8850000;1505;1062667;181;170000;-38500;172000
152330;12/29/15;12;12/14/15;-0.83%;-2.02%;KOREA AUTOGLASS;KP;1;12/14/15;10500;12000;20000000;220;8040000;88;11000;500;11600
109610;12/29/15;12;12/14/15;-0.83%;-2.02%;SY PANEL;KQ;0;12/14/15;7000;8000;6200000;31;2135922;11;5000;-2000;4700
224060;12/29/15;12;12/10/15;-0.83%;-2.02%;KODI-M;KQ;0;12/10/15;4700;5800;3763630;18;1000000;5;4700;0;7490
221610;01/27/16;1;01/13/16;1.75%;1.45%;HANSOL CNP;KQ;0;01/13/16;13000;16800;3993673;55;900000;12;13000;0;18950
