STOCK CODE;LISTING DATE;Month;BOOK BUILD DATE;S & P;kospi;NAME;MKT;MKT_Dummy;BOOK BUILD DATE;LOWER BAND;UPPER BAND; TOTAL SHARES ; MKT CAP (BN) ; IPO SHARES ; IPO SIZE (BN) ; IPO PRICE ; DAY 1 OPEN ;Discount on the Band Price
13310;12/22/15;12;12/09/15;2.76%;0.96%;AHJIN INDUSTRY;KQ;0;12/09/15;6500;7500;12550300;82;4500000;29;6500;7620;0
206560;12/22/15;12;12/08/15;2.76%;0.96%;DEXTER STUDIOS;KQ;0;12/08/15;11000;14000;10707644;150;2141664;30;14000;24800;3000
222980;12/23/15;12;12/08/15;2.76%;0.96%;MCNULTY KOREA;KQ;0;12/08/15;10500;11500;4925000;39;1200000;10;8000;16000;-2500
191410;12/24/15;12;12/10/15;2.76%;0.96%;RYUK-IL C&S;KQ;0;12/10/15;6000;6700;8501980;51;700000;4;6000;6560;0
223310;12/24/15;12;12/10/15;2.76%;0.96%;ESV;KQ;0;12/10/15;13000;15000;6627400;66;1580000;16;10000;18500;-3000
145020;12/24/15;12;12/09/15;2.76%;0.96%;HUGEL;KQ;0;12/09/15;190000;210000;3374058;506;360000;54;150000;199500;-40000
226320;12/28/15;12;12/10/15;-0.83%;-2.02%;ITS SKIN;KP;1;12/10/15;208500;253000;8850000;1505;1062667;181;170000;172000;-38500
152330;12/29/15;12;12/14/15;-0.83%;-2.02%;KOREA AUTOGLASS;KP;1;12/14/15;10500;12000;20000000;220;8040000;88;11000;11600;500
109610;12/29/15;12;12/14/15;-0.83%;-2.02%;SY PANEL;KQ;0;12/14/15;7000;8000;6200000;31;2135922;11;5000;4700;-2000
224060;12/29/15;12;12/10/15;-0.83%;-2.02%;KODI-M;KQ;0;12/10/15;4700;5800;3763630;18;1000000;5;4700;7490;0
221610;01/27/16;1;01/13/16;1.75%;1.45%;HANSOL CNP;KQ;0;01/13/16;13000;16800;3993673;55;900000;12;13000;18950;0
900250;01/28/16;1;01/14/16;1.75%;1.45%;CHINA CRYSTAL;KQ;0;01/14/16;2900;4200;61622771;226;9300000;28;3000;4000;100
142210;02/02/16;2;01/14/16;-3.10%;0.52%;UNITRONTECH;KQ;0;01/14/16;12300;14000;9931950;84;655000;9;14000;25300;1700
226350;02/03/16;2;01/20/16;-3.10%;0.52%;IM TECH;KQ;0;01/20/16;6500;7500;16955500;90;4300000;32;7500;9500;1000
194370;02/04/16;2;01/20/16;-3.10%;0.52%;JS CORP;KS;1;01/20/16;19000;23000;13157051;215;3283132;76;23000;39100;4000
65660;02/15/16;2;01/27/16;2.84%;4.57%;ANTEROGEN;KQ;0;01/27/16;17000;22000;7463435;155;600000;14;24000;38000;7000
115180;02/29/16;2;02/15/16;2.67%;1.92%;QURIENT;KQ;0;02/15/16;18000;21000;7227262;255;1408000;30;21000;33900;3000
211270;03/04/16;3;02/15/16;2.67%;1.92%;APSI;KQ;0;02/15/16;8700;9700;15014804;131;3258000;32;9700;12400;1000
222110;03/11/16;3;02/23/16;1.11%;0.93%;PANGEN;KQ;0;02/23/16;12500;16500;9048515;152;1500000;25;16500;24900;4000
4440;03/30/16;3;03/15/16;1.81%;-0.59%;DAELIM C&S;KS;1;03/15/16;23500;27700;12731947;262;4456181;123;27700;24950;4200
228340;04/06/16;4;03/23/16;-1.21%;-0.24%;TONGYANG PILE;KQ;0;03/23/16;10000;11600;20000000;149;8000000;80;10000;9000;0
225330;04/07/16;4;03/24/16;-1.21%;-0.24%;CMS EDU;KQ;0;03/24/16;19000;23200;4226182;109;1240000;29;23200;26800;4200
228850;04/11/16;4;03/24/16;1.62%;2.80%;RAYENCE;KQ;0;03/24/16;22000;25000;16591014;276;4000000;100;25000;23800;3000
101530;05/11/16;5;04/28/16;-0.51%;-1.11%;HAITAI CONFECTIONERY & FOOD;KS;1;04/28/16;12300;5100;29116822;537;5830000;88;15100;18950;2800
70960;05/27/16;5;05/18/16;2.28%;1.30%;YONG PYONG RESORT CORPORATION;KS;1;05/18/16;8100;9200;48133333;398;16720000;117;7000;9000;-1100
148250;06/22/16;6;06/14/16;-1.63%;-1.00%;RN2 TECHNOLOGIES;KQ;0;06/14/16;5100;5800;6328942;33;670000;4;5800;12500;700
144510;06/23/16;6;06/16/16;-1.63%;-1.00%;GREEN CROSS LAB CELL CORPORATION;KQ;0;06/16/16;13600;15900;10554054;240;2000000;37;18500;37000;4900
237690;06/23/16;6;06/16/16;-1.63%;-1.00%;ST PHARM;KQ;0;06/16/16;24000;27000;18484400;812;4664000;135;29000;47000;5000
195870;06/24/16;6;06/16/16;-1.63%;-1.00%;HAESUNG DS;KS;1;06/16/16;12000;15000;17000000;183;4000000;48;12000;16700;0
900260;06/30/16;6;06/20/16;3.22%;3.06%;ROTHWELL INTERNATIONAL;KQ;0;06/20/16;2100;3200;90781250;237;30000000;96;3200;3915;1100
237750;07/04/16;7;06/23/16;1.28%;-1.25%;PNC TECHNOLOGIES;KQ;0;06/23/16;9000;10200;6496600;56;2650000;27;10200;11000;1200
142760;07/07/16;7;06/28/16;1.28%;-1.25%;BIOLEADERS;KQ;0;06/28/16;11000;15000;12354310;70;1200000;18;15000;17100;4000
123890;07/13/16;7;07/01/16;1.49%;3.12%;KOREA ASSET IN TRUST;KS;1;07/01/16;9100;10300;85000000;740;27297345;281;10300;9900;1200
71460;07/14/16;7;07/05/16;1.49%;3.12%;DAEYOU WINIA;KQ;0;07/05/16;6800;8300;24111530;104;7500000;51;6800;7900;0
174880;07/15/16;7;07/08/16;1.49%;3.12%;JANGWONTECH;KQ;0;07/08/16;15000;17500;6045000;52;1500000;26;17500;22250;2500
123010;07/20/16;7;07/12/16;0.61%;-0.39%;OPTOPAC;KQ;0;07/12/16;5000;5900;4605732;24;700000;4;5900;6210;900
73560;07/27/16;7;07/19/16;-0.07%;0.58%;WOORISON F&G;KQ;0;07/19/16;1935;2210;69237643;145;18211530;40;2210;4000;275
208860;07/28/16;7;07/20/16;-0.07%;0.58%;ENGIS TECHNOLOGIES, INC.;KQ;0;07/20/16;8900;10000;3127180;58;467000;5;10000;19000;1100
16740;07/29/16;7;07/20/16;-0.07%;0.58%;DUAL;KS;1;07/20/16;7500;9000;17755500;84;7300000;62;8500;8190;1000
38160;08/01/16;8;07/20/16;0.43%;0.35%;PAXNET;KQ;0;07/20/16;4600;5200;11077521;91;2769000;14;5200;10400;600
230360;08/08/16;8;07/27/16;0.05%;1.51%;ECHOMARKETING;KQ;0;07/27/16;27000;31000;8128571;160;1100000;39;35000;68000;8000
900270;08/18/16;8;08/09/16;-0.01%;0.98%;HENG SHENG HOLDING GROUP LIMITED;KQ;0;08/09/16;3400;5300;80000000;234;20000000;72;3600;3240;200
234920;09/06/16;9;08/26/16;-2.39%;0.32%;ZAIGLE;KQ;0;08/26/16;20000;23000;13530910;122;4480000;49;11000;13600;-9000
229640;09/22/16;9;09/09/16;1.19%;2.62%;LS C&S ASIA;KS;1;09/09/16;10000;11500;30624879;176;12650140;101;8000;7200;-2000
241590;10/04/16;10;09/22/16;-0.67%;1.00%;HWASEUNG ENTERPRISE;KS;1;09/22/16;14600;16500;26929479;416;7840000;118;15000;13500;400
201490;10/10/16;10;09/27/16;-0.96%;-1.91%;ME2ON;KQ;0;09/27/16;3800;4300;30126122;238;7160708;27;3800;3420;0
50960;10/11/16;10;09/30/16;-0.96%;-1.91%;SOOSAN INT;KW;1;09/30/16;10500;11500;6751000;62;1700000;20;11500;11500;1000
238090;10/12/16;10;10/05/16;-0.96%;-1.91%;NDFOS;KQ;0;10/05/16;13000;14500;15068965;180;4200000;61;14500;17500;1500
950140;10/14/16;10;09/27/16;-0.96%;-1.91%;ENGLEWOOD LAB, INC.;KQ;0;09/27/16;6000;7000;19366154;241;3500000;21;6000;8360;0
72990;10/17/16;10;10/07/16;0.38%;0.85%;HCT;KQ;0;10/07/16;19200;22500;4579934;52;1136460;19;17000;19500;-2200
189300;10/18/16;10;10/17/16;0.38%;0.85%;INTELLIAN TECHNOLOGIES;KQ;0;10/17/16;18000;20500;7165110;115;1450000;28;19000;18750;1000
900280;10/19/16;10;10/11/16;0.38%;0.85%;CAYMAN GOLDEN CENTURY WHEEL GROUP LIMITED;KQ;0;10/11/16;3200;4200;29800000;194;7904761;28;3500;4005;300
900290;10/25/16;10;10/18/16;-0.69%;-0.28%;GREAT RICH TECHNOLOGIES LIMITED;KQ;0;10/18/16;4000;6000;67375000;319;16875000;84;5000;5000;1000
234080;10/27/16;10;10/19/16;-0.69%;-0.28%;JW LIFE SCIENCE;KS;1;10/19/16;27000;32500;7917277;199;2400000;72;30000;33050;3000
241710;10/28/16;10;10/19/16;-0.69%;-0.28%;COSMECCA KOREA;KQ;0;10/19/16;48000;54000;5340000;303;1340000;72;54000;71400;6000
239610;10/28/16;10;10/20/16;-0.69%;-0.28%;HLSCIENCE;KQ;0;10/20/16;23900;30700;5142148;121;1511125;41;27000;38400;3100
216050;10/31/16;10;10/21/16;-1.94%;-1.54%;INCROSS;KQ;0;10/21/16;38000;43000;2939035;116;471500;20;43000;67700;5000
238120;11/03/16;11;10/27/16;-1.94%;-1.54%;LOGOS BIOSYSTEMS, INC.;KQ;0;10/27/16;22200;25500;3561724;57;708096;18;25500;25500;3300
900300;11/04/16;11;10/27/16;-1.94%;-1.54%;ORGANIC TEA COSMETICS HOLDINGS COMPANY LIMITED;KQ;0;10/27/16;3200;3700;56925000;251;14300000;57;4000;6510;800
237880;11/09/16;11;11/01/16;3.80%;-0.23%;CLIO COSMETICS;KQ;0;11/01/16;36400;41000;16873215;533;4497600;184;41000;39950;4600
207940;11/10/16;11;11/03/16;3.80%;-0.23%;SAMSUNG BIOLOGICS;KS;1;11/03/16;113000;136000;66165000;9462;16541302;2250;136000;135000;23000
241560;11/18/16;11;11/09/16;0.81%;-0.71%;DOOSAN BOBCAT;KS;1;11/09/16;29300;33000;100249166;3714;30028180;901;30000;36000;700
220180;11/24/16;11;11/16/16;1.44%;0.82%;HANDYSOFT, INC.;KQ;0;11/16/16;4500;5600;7459009;49;1900000;11;5600;8180;1100
176440;11/28/16;11;11/18/16;-0.97%;0.25%;HNT ELECTRONICS COMPANY LTD.;KQ;0;11/18/16;14000;16000;6701100;54;1350000;14;10000;12100;-4000
156100;11/30/16;11;11/22/16;-0.97%;0.25%;L&K BIO;KQ;0;11/22/16;14500;18000;9926362;99;1023000;15;15000;15750;500
144960;11/30/16;11;11/22/16;-0.97%;0.25%;NEWPOWER PLASMA;KQ;0;11/22/16;15000;17000;7903379;130;1700000;30;17500;17500;2500
241790;12/01/16;12;11/22/16;-0.97%;0.25%;OCEANBRIDGE;KQ;0;11/22/16;5400;6600;8622720;66;2265000;15;6600;7730;1200
220100;12/01/16;12;11/24/16;-0.97%;0.25%;FUTURECHEM;KQ;0;11/24/16;19000;22000;5622139;54;1400000;21;15000;15750;-4000
143210;12/02/16;12;11/23/16;-0.97%;0.25%;HANDS CORPORATION;KS;1;11/23/16;12000;14000;21646800;191;5482000;66;12000;10800;0
215600;12/06/16;12;11/29/16;3.08%;3.18%;SILLAJEN, INC.;KQ;0;11/29/16;15000;18000;61616527;712;10000000;150;15000;13500;0
203450;12/07/16;12;11/29/16;3.08%;3.18%;UNION COMMUNITY;KQ;0;11/29/16;4400;5000;14679007;54;2910000;15;5000;4465;600
196300;12/07/16;12;11/29/16;3.08%;3.18%;ANYGEN;KQ;0;11/29/16;22000;26000;4734831;62;700000;13;18000;17800;-4000
204990;12/09/16;12;12/01/16;3.08%;3.18%;HS VITAL;KQ;0;12/01/16;7000;9000;21740000;114;3500000;25;7000;6300;0
147760;12/12/16;12;12/02/16;-0.06%;0.63%;MICRO FRIEND INC.;KQ;0;12/02/16;7300;8500;10641366;78;3000000;22;7300;6570;0
246690;12/12/16;12;12/02/16;-0.06%;0.63%;TS INVESTMENT;KQ;0;12/02/16;1450;1550;22421004;82;5700000;9;1300;1470;-150
241520;12/19/16;12;12/09/16;0.25%;-0.36%;DSC INVESTMENT;KQ;0;12/09/16;2500;2800;17500000;68;4368932;7;1700;3400;-800
195440;12/21/16;12;12/13/16;0.25%;-0.36%;FUSION DATA;KQ;0;12/13/16;10000;11500;3030000;51;1000000;12;11500;20750;1500
